#shape	W	A	d	bf	tw	tf	kdes	fsr	wsr	Ix	Zx	Sx	rx	Iy	Zy	Sy	ry	J	Cw	Wno	Sw1	Qf	Qw	rts	ho	PA	PB	PC	PD
	plf	in2	in	in	in	in	in			in4	in3	in3	in	in4	in3	in3	in	in4	in6	in2	in4	in3	in3	in	in	in	in	in	in
W44X408	408	120	44.8	16.1	1.22	2.17	2.96	3.71	31.9	38700	2000	1730	18.0	1520	297	189	3.56	134	691000	172	1500	344	994	4.33	42.6	134	150	106	122
W44X368	368	108	44.4	16.0	1.10	1.97	2.76	4.06	35.4	34700	1800	1560	17.9	1350	265	169	3.54	100	608000	170	1340	311	894	4.28	42.4	133	149	105	121
W44X335	335	98.5	44.0	15.9	1.030	1.77	2.56	4.50	38.0	31100	1620	1410	17.8	1200	236	150	3.49	74.7	535000	168	1180	278	805	4.24	42.2	132	148	104	120
W44X290	290	85.4	43.6	15.8	0.865	1.58	2.36	5.02	45.0	27000	1410	1240	17.8	1040	205	132	3.49	50.9	461000	166	1040	248	701	4.20	42.0	131	147	103	119
W44X262	262	77.2	43.3	15.8	0.785	1.42	2.20	5.57	49.6	24100	1270	1110	17.7	923	182	117	3.47	37.3	405000	165	928	223	630	4.17	41.9	131	147	102	118
W44X230	230	67.8	42.9	15.8	0.710	1.22	2.01	6.45	54.8	20800	1100	971	17.5	796	157	101	3.43	24.9	346000	165	793	192	547	4.13	41.7	130	146	102	118
W40X655	655	193	43.6	16.9	1.97	3.54	4.72	2.39	17.3	56500	3080	2590	17.1	2870	542	340	3.86	589	1150000	169	2530	529	1530	4.71	40.1	132	149	104	121
W40X593	593	174	43.0	16.7	1.79	3.23	4.41	2.58	19.1	50400	2760	2340	17.0	2520	481	302	3.80	445	997000	166	2240	479	1370	4.63	39.8	130	147	103	120
W40X503	503	148	42.1	16.4	1.54	2.76	3.94	2.98	22.3	41600	2320	1980	16.8	2040	394	249	3.72	277	789000	161	1830	403	1150	4.50	39.3	129	145	101	117
W40X431	431	127	41.3	16.2	1.34	2.36	3.54	3.44	25.5	34800	1960	1690	16.6	1690	328	208	3.65	177	638000	158	1510	341	969	4.41	38.9	127	143	98.8	115
W40X397	397	117	41.0	16.1	1.22	2.20	3.38	3.66	28.0	32000	1800	1560	16.6	1540	300	191	3.64	142	579000	156	1380	318	891	4.38	38.8	126	142	98.1	114
W40X372	372	110	40.6	16.1	1.16	2.05	3.23	3.93	29.5	29600	1680	1460	16.5	1420	277	177	3.60	116	528000	155	1280	295	829	4.33	38.6	125	141	97.3	113
W40X362	362	106	40.6	16.0	1.12	2.01	3.19	3.99	30.5	28900	1640	1420	16.5	1380	270	173	3.60	109	513000	154	1240	289	808	4.33	38.6	125	141	97.2	113
W40X324	324	95.3	40.2	15.9	1.00	1.81	2.99	4.40	34.2	25600	1460	1280	16.4	1220	239	153	3.58	79.4	448000	153	1100	259	720	4.27	38.4	124	140	96.3	112
W40X297	297	87.3	39.8	15.8	0.930	1.65	2.83	4.80	36.8	23200	1330	1170	16.3	1090	215	138	3.54	61.2	399000	151	982	234	652	4.22	38.2	123	139	95.4	111
W40X277	277	81.5	39.7	15.8	0.830	1.58	2.76	5.03	41.2	21900	1250	1100	16.4	1040	204	132	3.58	51.5	379000	151	940	225	614	4.25	38.1	123	139	95.2	111
W40X249	249	73.5	39.4	15.8	0.750	1.42	2.60	5.55	45.6	19600	1120	993	16.3	926	182	118	3.55	38.1	334000	150	841	203	551	4.21	38.0	122	138	94.6	110
W40X215	215	63.5	39.0	15.8	0.650	1.22	2.40	6.45	52.6	16700	964	859	16.2	803	156	101	3.54	24.8	284000	149	719	175	473	4.19	37.8	122	138	93.8	110
W40X199	199	58.8	38.7	15.8	0.650	1.07	2.25	7.39	52.6	14900	869	770	16.0	695	137	88.2	3.45	18.3	246000	149	628	153	427	4.12	37.6	121	137	93.2	109
W40X392	392	116	41.6	12.4	1.42	2.52	3.70	2.45	24.1	29900	1710	1440	16.1	803	212	130	2.64	172	306000	121	946	270	848	3.30	39.1	116	128	95.6	108
W40X331	331	97.7	40.8	12.2	1.22	2.13	3.31	2.86	28.0	24700	1430	1210	15.9	644	172	106	2.57	105	241000	118	766	226	706	3.21	38.7	114	126	93.8	106
W40X327	327	95.9	40.8	12.1	1.18	2.13	3.31	2.85	29.0	24500	1410	1200	16.0	640	170	105	2.58	103	239000	117	754	225	695	3.21	38.7	114	126	93.7	106
W40X294	294	86.2	40.4	12.0	1.06	1.93	3.11	3.11	32.2	21900	1270	1080	15.9	562	150	93.5	2.55	76.6	208000	115	668	203	622	3.16	38.5	113	125	92.8	105
W40X278	278	82.3	40.2	12.0	1.03	1.81	2.99	3.31	33.3	20500	1190	1020	15.8	521	140	87.1	2.52	65.0	192000	115	622	190	587	3.13	38.4	112	124	92.4	104
W40X264	264	77.4	40.0	11.9	0.960	1.73	2.91	3.45	35.6	19400	1130	971	15.8	493	132	82.6	2.52	56.1	181000	114	589	182	555	3.12	38.3	112	124	91.9	104
W40X235	235	69.1	39.7	11.9	0.830	1.58	2.76	3.77	41.2	17400	1010	875	15.9	444	118	74.6	2.54	41.3	161000	113	530	166	495	3.11	38.1	111	123	91.3	103
W40X211	211	62.1	39.4	11.8	0.750	1.42	2.60	4.17	45.6	15500	906	786	15.8	390	105	66.1	2.51	30.4	141000	112	468	148	442	3.07	38.0	110	122	90.6	102
W40X183	183	53.3	39.0	11.8	0.650	1.20	2.38	4.92	52.6	13200	774	675	15.7	331	88.3	56.0	2.49	19.3	118000	112	395	126	376	3.04	37.8	110	122	89.8	102
W40X167	167	49.3	38.6	11.8	0.650	1.03	2.21	5.76	52.6	11600	693	600	15.3	283	76.0	47.9	2.40	14.0	99700	111	336	107	336	2.98	37.6	109	121	89.0	101
W40X149	149	43.8	38.2	11.8	0.630	0.830	2.01	7.11	54.3	9800	598	513	15.0	229	62.2	38.8	2.29	9.36	80000	110	270	86.7	288	2.89	37.4	108	120	88.2	100
W36X925	925	272	43.1	18.6	3.02	4.53	5.28	2.05	10.8	73000	4130	3390	16.4	4940	862	531	4.26	1430	1840000	179	3780	681	2060	5.30	38.6	134	153	105	124
W36X853	853	251	43.1	18.2	2.52	4.53	5.28	2.01	12.9	70000	3920	3250	16.7	4600	805	505	4.28	1240	1710000	175	3620	685	1950	5.22	38.6	135	153	104	122
W36X802	802	236	42.6	18.0	2.38	4.29	5.04	2.10	13.7	64800	3660	3040	16.6	4210	744	468	4.22	1050	1540000	172	3330	642	1820	5.15	38.3	133	151	103	121
W36X723	723	213	41.8	17.8	2.17	3.90	4.65	2.28	15.0	57300	3270	2740	16.4	3700	658	416	4.17	785	1330000	169	2930	578	1630	5.06	37.9	131	149	101	119
W36X652	652	192	41.1	17.6	1.97	3.54	4.49	2.48	16.3	50600	2910	2460	16.2	3230	581	367	4.10	593	1130000	165	2560	518	1450	4.96	37.6	129	147	99.8	117
W36X529	529	156	39.8	17.2	1.61	2.91	3.86	2.96	19.9	39600	2330	1990	16.0	2490	454	289	4.00	327	846000	159	1990	419	1160	4.80	36.9	127	144	96.8	114
W36X487	487	143	39.3	17.1	1.50	2.68	3.63	3.19	21.4	36000	2130	1830	15.8	2250	412	263	3.96	258	754000	157	1800	383	1060	4.74	36.6	125	142	95.7	113
W36X441	441	130	38.9	17.0	1.36	2.44	3.39	3.48	23.6	32100	1910	1650	15.7	1990	368	235	3.92	194	661000	154	1600	347	950	4.69	36.5	124	141	94.8	112
W36X395	395	116	38.4	16.8	1.22	2.20	3.15	3.83	26.3	28500	1710	1490	15.7	1750	325	208	3.88	142	575000	152	1410	311	847	4.61	36.2	123	140	93.6	110
W36X361	361	106	38.0	16.7	1.12	2.01	2.96	4.16	28.6	25700	1550	1350	15.6	1570	293	188	3.85	109	509000	150	1270	282	767	4.58	36.0	122	139	92.7	109
